complete_sentence,question_text,english_translation,hint,alternate_correct_responses,option_a,option_b,option_c,option_d,correct_option,cefr_level,topic,explanation,resource
Voi capite la lezione?,Voi ___ la lezione?,Do you (plural) understand the lesson?,capire,,capisce,capiamo,capisco,capite,D,A1,Presente indicativo: verbi regolari -ire con -isc-,"The verb 'capire' is a regular -ire verb. For the second-person plural (voi), the infinitive ending -ire is replaced with -ite. Thus, 'voi capite'.",
Loro non sanno la risposta.,Loro non ___ la risposta,They don't know the answer.,sapere,,sanno,sai,sa,sappiamo,A,A1,Verbi irregolari,The verb 'sapere' (to know) is irregular. The correct conjugation for the third-person plural (loro) is 'sanno'.,
Maria è una buona amica.,Maria ___ una buona amica.,Maria is a good friend.,,,sei,sono,è,siamo,C,A1,Verbo essere (to be),'Maria' is a third-person singular subject. The third-person singular conjugation of the irregular verb 'essere' (to be) is 'è'.,
How would you say: I am Italian.,How would you say: I am Italian.,Io sono italiano.,,Sono italiano,Io sono italiano,Io è italiano,Io siamo italiano,Io sei italiano,A,A1,Verbo essere (to be),"For the first-person singular pronoun 'io', the correct conjugation of the verb 'essere' (to be) is 'sono'.",
Tu sei molto simpatico.,Tu ___ molto simpatico.,You are very nice.,,,sei,è,sono,siamo,A,A1,Verbo essere (to be),"For the second-person singular pronoun 'tu', the correct conjugation of the verb 'essere' (to be) is 'sei'.",
Loro sono italiani.,Loro ___ italiani.,They are Italian.,,,siamo,sono,siete,è,B,A1,Verbo essere (to be),"For the third-person plural pronoun 'loro', the correct conjugation of the verb 'essere' (to be) is 'sono'.",
Lei ha due sorelle.,Lei ___ due sorelle.,She has two sisters.,,,ho,hai,ha,hanno,C,A1,Verbo avere (to have),"The verb 'avere' (to have) is irregular. For the third-person singular pronoun 'lei', the correct form is 'ha'.",
Voi avete molti amici.,Voi ___ molti amici.,You have many friends.,,,avete,abbiamo,hanno,ha,A,A1,Verbo avere (to have),"The verb 'avere' (to have) is irregular. For the second-person plural pronoun 'voi', the correct form is 'avete'.",
La maglia è di colore rosso.,La maglia è di colore ___.,The shirt is red.,,,blu,verde,rosso,nero,C,A1,Colori (vocabolario),The Italian word for the color red is 'rosso'.,
How would you say: The car is green.,How would you say: The car is green.,L'auto è verde.,,La macchina è verde,L'auto è verde,L'auto è rosso,L'auto è blu,L'auto è giallo,A,A1,Colori (vocabolario),The Italian word for green is 'verde'. It is invariable in the singular form.,
I capelli di Maria sono neri.,I capelli di Maria sono ___.,Maria's hair is black.,,,bianchi,neri,rossi,biondi,B,A1,Colori (vocabolario),"'Capelli' (hair) is a masculine plural noun. The adjective 'nero' (black) must agree in gender and number, becoming 'neri'.",
Mia sorella si chiama Anna.,Mia ___ si chiama Anna.,My sister's name is Anna.,,,madre,sorella,figlia,nonna,B,A1,Famiglia (vocabolario),The Italian word for 'sister' is 'sorella'.,
Il padre di Paolo è molto alto.,Il ___ di Paolo è molto alto.,Paolo's father is very tall.,,,fratello,padre,figlio,nonno,B,A1,Famiglia (vocabolario),The Italian word for 'father' is 'padre'.,
How would you say: My grandmother is 80 years old.,How would you say: My grandmother is 80 years old.,Mia nonna ha ottant'anni.,,,Mia nonna ha ottant'anni,Mio nonno ha ottant'anni,Mia madre ha ottant'anni,Mia sorella ha ottant'anni,A,A1,Famiglia (vocabolario),"The Italian for 'grandmother' is 'nonna'. Age is expressed with the verb 'avere' (to have). Numbers in this context are written out, and 'ottanta' elides with 'anni' to become 'ottant'anni'.",
How would you say: What month is January?,How would you say: What month is January?,Che mese è gennaio?,,,Che mese è gennaio,Quale mese è gennaio,Quando è gennaio,Come è gennaio,A,A1,Mesi (vocabolario),The question 'What month is...?' is translated as 'Che mese è...?' in Italian. 'Gennaio' is January.,
How would you say: February is cold.,How would you say: February is cold.,Febbraio è freddo.,,,Febbraio è freddo,Gennaio è freddo,Marzo è freddo,Aprile è freddo,A,A1,Mesi (vocabolario),'February' in Italian is 'Febbraio'. 'Is cold' is 'è freddo'.,
How would you say: I like March.,How would you say: I like March.,Mi piace marzo.,,,Mi piace marzo,Mi piace febbraio,Mi piace aprile,Mi piace maggio,A,A1,Mesi (vocabolario),'March' in Italian is 'Marzo'. 'I like' is 'Mi piace'.,
How would you say: April is a beautiful month.,How would you say: April is a beautiful month.,Aprile è un bel mese.,,,Aprile è un bel mese,Maggio è un bel mese,Marzo è un bel mese,Giugno è un bel mese,A,A1,Mesi (vocabolario),'April' in Italian is 'Aprile'. 'Is a beautiful month' is 'è un bel mese'.,
How would you say: In May it's warm.,How would you say: In May it's warm.,A maggio fa caldo.,,,A maggio fa caldo,A giugno fa caldo,A luglio fa caldo,Ad aprile fa caldo,A,A1,Mesi (vocabolario),'May' in Italian is 'Maggio'. 'In May' is 'A maggio'. 'It's warm' is 'fa caldo'.,
How would you say: June is summer.,How would you say: June is summer.,Giugno è estate.,,,Giugno è estate,Luglio è estate,Maggio è estate,Agosto è estate,A,A1,Mesi (vocabolario),'June' in Italian is 'Giugno'. 'Is summer' is 'è estate'.,
How would you say: I go on vacation in July.,How would you say: I go on vacation in July.,Vado in vacanza a luglio.,,,Vado in vacanza a luglio,Vado in vacanza a giugno,Vado in vacanza ad agosto,Vado in vacanza a settembre,A,A1,Mesi (vocabolario),'July' in Italian is 'Luglio'. 'I go on vacation in July' is 'Vado in vacanza a luglio'.,
How would you say: August is very hot.,How would you say: August is very hot.,Agosto è molto caldo.,,Agosto fa molto caldo,Agosto è molto caldo,Luglio è molto caldo,Settembre è molto caldo,Giugno è molto caldo,A,A1,Mesi (vocabolario),'August' in Italian is 'Agosto'. 'Is very hot' is 'è molto caldo'.,
How would you say: School starts in September.,How would you say: School starts in September.,La scuola inizia a settembre.,,,La scuola inizia a settembre,La scuola inizia ad agosto,La scuola inizia a ottobre,La scuola inizia a novembre,A,A1,Mesi (vocabolario),'September' in Italian is 'Settembre'. 'School starts in September' is 'La scuola inizia a settembre'.,
How would you say: October has beautiful colors.,How would you say: October has beautiful colors.,Ottobre ha bei colori.,,,Ottobre ha bei colori,Settembre ha bei colori,Novembre ha bei colori,Dicembre ha bei colori,A,A1,Mesi (vocabolario),'October' in Italian is 'Ottobre'. 'Has beautiful colors' is 'ha bei colori'.,
How would you say: November is autumn.,How would you say: November is autumn.,Novembre è autunno.,,,Novembre è autunno,Ottobre è autunno,Dicembre è autunno,Settembre è autunno,A,A1,Mesi (vocabolario),'November' in Italian is 'Novembre'. 'Is autumn' is 'è autunno'.,
How would you say: December is Christmas time.,How would you say: December is Christmas time.,Dicembre è il periodo di Natale.,,,Dicembre è il periodo di Natale,Novembre è il periodo di Natale,Gennaio è il periodo di Natale,Ottobre è il periodo di Natale,A,A1,Mesi (vocabolario),'December' in Italian is 'Dicembre'. 'Is the Christmas period' is 'è il periodo di Natale'.,
Oggi è lunedì.,Oggi è ___.,Today is Monday.,,,lunedì,martedì,mercoledì,giovedì,A,A1,Giorni della settimana (vocabolario),The Italian word for 'Monday' is 'lunedì'.,
How would you say: Wednesday is in the middle of the week.,How would you say: Wednesday is in the middle of the week.,Mercoledì è a metà settimana.,,,Mercoledì è a metà settimana,Martedì è a metà settimana,Giovedì è a metà settimana,Venerdì è a metà settimana,A,A1,Giorni della settimana (vocabolario),'Wednesday' in Italian is 'Mercoledì'. 'Is in the middle of the week' is 'è a metà settimana'.,
How would you say: I work on Thursday.,How would you say: I work on Thursday.,Lavoro giovedì.,,,Lavoro giovedì,Lavoro mercoledì,Lavoro venerdì,Lavoro sabato,A,A1,Giorni della settimana (vocabolario),"'Thursday' in Italian is 'Giovedì'. Unlike English, days of the week are not typically capitalized.",
How would you say: Friday is the last working day.,How would you say: Friday is the last working day.,Venerdì è l'ultimo giorno lavorativo.,,,Venerdì è l'ultimo giorno lavorativo,Giovedì è l'ultimo giorno lavorativo,Sabato è l'ultimo giorno lavorativo,Domenica è l'ultimo giorno lavorativo,A,A1,Giorni della settimana (vocabolario),'Friday' in Italian is 'Venerdì'. 'Is the last working day' is 'è l'ultimo giorno lavorativo'.,
How would you say: On Saturday I rest.,How would you say: On Saturday I rest.,Sabato riposo.,,,Sabato riposo,Domenica riposo,Venerdì riposo,Lunedì riposo,A,A1,Giorni della settimana (vocabolario),'Saturday' in Italian is 'Sabato'. 'I rest' is 'riposo'.,
How would you say: Sunday is a family day.,How would you say: Sunday is a family day.,Domenica è un giorno di famiglia.,,,Domenica è un giorno di famiglia,Sabato è un giorno di famiglia,Lunedì è un giorno di famiglia,Venerdì è un giorno di famiglia,A,A1,Giorni della settimana (vocabolario),'Sunday' in Italian is 'Domenica'. 'Is a family day' is 'è un giorno di famiglia'.,
Che ore sono? - Sono le tre.,Che ore sono? - Sono le ___.,What time is it? - It's three o'clock.,,,due,tre,quattro,cinque,B,A1,Orario (telling time),"To tell time, use 'Sono le...' for all hours except one o'clock. 'Three' is 'tre'.",
How would you say: It's half past two.,How would you say: It's half past two.,Sono le due e mezza.,,,Sono le due e mezza,Sono le tre e mezza,Sono le due e un quarto,Sono le tre e un quarto,A,A1,Orario (telling time),"'Half past' is translated as 'e mezza'. 'Two' is 'due'. So, 'Sono le due e mezza'.",
How would you say: It's quarter past four.,How would you say: It's quarter past four.,Sono le quattro e un quarto.,,,Sono le quattro e un quarto,Sono le quattro e mezza,Sono le tre e un quarto,Sono le cinque e un quarto,A,A1,Orario (telling time),"'Quarter past' is translated as 'e un quarto'. 'Four' is 'quattro'. So, 'Sono le quattro e un quarto'.",
How would you say: It's midnight.,How would you say: It's midnight.,È mezzanotte.,,,È mezzanotte,È mezzogiorno,Sono le dodici,È l'una,A,A1,Orario (telling time),'Midnight' in Italian is 'mezzanotte'. We use 'È' because it's a singular concept.,
How would you say: Good morning!,How would you say: Good morning!,Buongiorno!,,,Buongiorno!,Buonasera!,Buonanotte!,Ciao!,A,A1,Saluti e presentazioni,'Good morning' is a standard greeting and is translated as 'Buongiorno!'.,
Buon pomeriggio!,Buon ___!,Good afternoon!,,,giorno,pomeriggio,sera,appetito,B,A1,Saluti e presentazioni,'Good afternoon' is translated as 'Buon pomeriggio'.,
Buona sera!,___ sera!,Good evening!,,,Buona,Bella,Brava,Cara,A,A1,Saluti e presentazioni,"'Sera' is a feminine noun, so the adjective must be feminine. 'Buona sera' means 'Good evening'.",
Buona notte!,___ notte!,Good night!,,,Buona,Bella,Brava,Cara,A,A1,Saluti e presentazioni,"'Notte' is a feminine noun, so the adjective must be feminine. 'Buona notte' means 'Good night'.",
Due più tre fa cinque.,Due più tre fa ___.,Two plus three equals ___.,,,quattro,cinque,sei,sette,B,A1,Numeri e prezzi (0-100),'Due' (2) plus 'tre' (3) equals 'cinque' (5).,
Dieci meno quattro fa sei.,Dieci meno quattro fa ___.,Ten minus four equals ___.,,,cinque,sei,sette,otto,B,A1,Numeri e prezzi (0-100),'Dieci' (10) minus 'quattro' (4) equals 'sei' (6).,
Tre per tre fa nove.,Tre per tre fa ___.,Three times three equals ___.,,,sei,sette,otto,nove,D,A1,Numeri e prezzi (0-100),'Tre' (3) times 'tre' (3) equals 'nove' (9).,
Quindici diviso tre fa cinque.,Quindici diviso tre fa ___.,Fifteen divided by three equals ___.,,,quattro,cinque,sei,sette,B,A1,Numeri e prezzi (0-100),'Quindici' (15) divided by 'tre' (3) equals 'cinque' (5).,
Ho vent'anni.,Ho ___anni.,I am twenty years old.,,,vent',trent',quarant',cinquant',A,A1,Numeri e prezzi (0-100),"The Italian word for 'twenty' is 'venti'. Because a vowel comes after, the 'i' is dropped in common speech.",
Ci sono trenta studenti in classe.,Ci sono ___ studenti in classe.,There are thirty students in class.,,,venti,venticinque,trenta,trentacinque,C,A1,Numeri e prezzi (0-100),The Italian word for 'thirty' is 'trenta'.,
La mia macchina ha cinque anni.,La mia macchina ha ___ anni.,My car is five years old.,,,tre,quattro,cinque,sei,C,A1,Numeri e prezzi (0-100),The Italian word for 'five' is 'cinque'.,
Abito al numero quarantadue.,Abito al numero ___.,I live at number forty-two.,,,quaranta,quarantuno,quarantadue,quarantatré,C,A1,Numeri e prezzi (0-100),The Italian word for 'forty-two' is 'quarantadue'.,
Il treno parte alle undici.,Il treno parte alle ___.,The train leaves at eleven.,,,dieci,undici,dodici,tredici,B,A1,Numeri e prezzi (0-100),The Italian word for 'eleven' is 'undici'.,
Costa cento euro.,Costa ___ euro.,It costs one hundred euros.,,,novanta,cento,centodieci,centoventi,B,A1,Numeri e prezzi (0-100),The Italian word for 'one hundred' is 'cento'.,
Lavoro dodici ore al giorno.,Lavoro ___ ore al giorno.,I work twelve hours per day.,,,dieci,undici,dodici,tredici,C,A1,Numeri e prezzi (0-100),The Italian word for 'twelve' is 'dodici'.,
Compro sette mele.,Compro ___ mele.,I buy seven apples.,,,cinque,sei,sette,otto,C,A1,Numeri e prezzi (0-100),The Italian word for 'seven' is 'sette'.,
Vado a scuola ogni giorno.,Vado ___ scuola ogni giorno.,I go to school every day.,,,a,in,da,di,A,A1,Preposizioni semplici,"The preposition 'a' is used to indicate motion to a place, such as 'a scuola' (to school).",
Il regalo è per Maria.,Il regalo è ___ Maria.,The gift is for Maria.,,,di,da,per,con,C,A1,Preposizioni semplici,The preposition 'per' means 'for' and indicates the recipient of something.,
Esco da casa alle otto.,Esco ___ casa alle otto.,I leave the house at eight.,,,di,da,in,per,B,A1,Preposizioni semplici,The preposition 'da' is used with 'uscire' to mean 'to leave from' a place: 'esco da casa'.,
Vado dal medico domani.,Vado ___ medico domani.,I go to the doctor tomorrow.,,,dal,del,nel,al,A,A1,Preposizioni semplici,"'Dal' is a prepositional article, a combination of 'da' (to) + 'il' (the). It is used for 'to the doctor's'.",
Cammino nel parco.,Cammino ___ parco.,I walk in the park.,,,nel,del,al,dal,A,A1,Preposizioni semplici,"'Nel' is a prepositional article, a combination of 'in' (in) + 'il' (the), meaning 'in the park'.",
Studio nella biblioteca.,Studio ___ biblioteca.,I study in the library.,,,nella,della,alla,dalla,A,A1,Preposizioni semplici,"'Nella' is a prepositional article, a combination of 'in' (in) + 'la' (the), meaning 'in the library'.",
Il treno arriva alla stazione.,Il treno arriva ___ stazione.,The train arrives at the station.,,,alla,della,nella,dalla,A,A1,Preposizioni semplici,"'Alla' is a prepositional article, a combination of 'a' (at) + 'la' (the), meaning 'at the station'.",
Parlo al professore.,Parlo ___ professore.,I talk to the professor.,,,al,del,nel,dal,A,A1,Preposizioni semplici,"'Al' is a prepositional article, a combination of 'a' (to) + 'il' (the), meaning 'to the professor'.",
Torno all' ufficio.,Torno ___ ufficio.,I return to the office.,,,dall',nell',all',dell',C,A1,Preposizioni semplici,"'All'' is a prepositional article, a combination of 'a' (to) + 'l'' (the), used before a noun starting with a vowel.",
I miei amici sono simpatici.,___ amici sono simpatici.,My friends are nice.,,,Il mio,La mia,I miei,Le mie,C,A1,Aggettivi possessivi,'Amici' is a masculine plural noun. The corresponding possessive adjective is 'i miei'.,
Le mie sorelle sono alte.,___ sorelle sono alte.,My sisters are tall.,,,Il mio,La mia,I miei,Le mie,D,A1,Aggettivi possessivi,'Sorelle' is a feminine plural noun. The corresponding possessive adjective is 'le mie'.,
Tuo padre lavora in banca.,___ padre lavora in banca.,Your father works in a bank.,,,Tua,Tuo,I tuoi,Le tue,B,A1,Aggettivi possessivi,"'Padre' is a masculine singular noun for a family member. Family members only take the possesive adjective, unless there is more than one. The corresponding possessive adjective for 'you' (singular) is 'Tuo'.",
Il suo gatto è nero.,___ gatto è nero.,His/her cat is black.,,,Il suo,La sua,I suoi,Le sue,A,A1,Aggettivi possessivi,'Gatto' is a masculine singular noun. The corresponding possessive adjective for 'his/her' is 'il suo'.,
Sua madre è dottoressa.,___ madre è dottoressa.,His/her mother is a doctor.,,,Suo,Sua,Suoi,Sue,B,A1,Aggettivi possessivi,'Madre' is a feminine singular noun. The possessive adjective is 'sua'. Note that the article is often dropped with close family members.,
I nostri bambini giocano.,___ bambini giocano.,Our children play.,,,I nostri,Le nostre,Il nostro,La nostra,A,A1,Aggettivi possessivi,'Bambini' is a masculine plural noun. The corresponding possessive adjective for 'our' is 'i nostri'.,
La nostra scuola è vicina.,___ scuola è vicina.,Our school is near.,,,I nostri,Le nostre,Il nostro,La nostra,D,A1,Aggettivi possessivi,'Scuola' is a feminine singular noun. The corresponding possessive adjective for 'our' is 'la nostra'.,
I vostri professori sono bravi.,___ professori sono bravi.,Your (plural) teachers are good.,,,I vostri,Le vostre,Il vostro,La vostra,A,A1,Aggettivi possessivi,'Professori' is a masculine plural noun. The corresponding possessive adjective for 'your' (plural) is 'i vostri'.,
Mi piace la pizza.,Mi piace ___ pizza.,I like pizza.,,,la,il,lo,le,A,A1,Cibo e bevande (vocabolario),"'Pizza' is a feminine singular noun, so it requires the definite article 'la'.",
Mangio la pasta ogni giorno.,Mangio ___ pasta ogni giorno.,I eat pasta every day.,,,la,il,lo,le,A,A1,Cibo e bevande (vocabolario),"'Pasta' is a feminine singular noun, so it requires the definite article 'la'.",
Bevo l' acqua.,Bevo ___ acqua.,I drink water.,,,l',il,la,le,A,A1,Cibo e bevande (vocabolario),"'Acqua' is a feminine singular noun that starts with a vowel, so it requires the elided article 'l''.",
Compro il pane fresco.,Compro ___ pane fresco.,I buy fresh bread.,,,il,la,lo,l',A,A1,Cibo e bevande (vocabolario),"'Pane' is a masculine singular noun, so it requires the definite article 'il'.",
Voglio un gelato.,Voglio ___ gelato.,I want an ice cream.,,,un,una,uno,un',A,A1,Cibo e bevande (vocabolario),"'Gelato' is a masculine singular noun, so it requires the indefinite article 'un'.",
Ordino un caffè.,Ordino ___ caffè.,I order a coffee.,,,un,una,uno,un',A,A1,Cibo e bevande (vocabolario),"'Caffè' is a masculine singular noun, so it requires the indefinite article 'un'.",
Preparo un' insalata.,Preparo ___ insalata.,I prepare a salad.,,,un,una,uno,un',D,A1,Cibo e bevande (vocabolario),"'Insalata' is a feminine singular noun beginning with a vowel, so it requires the indefinite article 'un'.",
Cucino il pesce.,Cucino ___ pesce.,I cook fish.,,,il,la,lo,l',A,A1,Cibo e bevande (vocabolario),"'Pesce' is a masculine singular noun, so it requires the definite article 'il'.",
Mangio la frutta.,Mangio ___ frutta.,I eat fruit.,,,la,il,lo,le,A,A1,Cibo e bevande (vocabolario),"'Frutta' is a feminine singular noun, so it requires the definite article 'la'.",
Bevo il vino rosso.,Bevo ___ vino rosso.,I drink red wine.,,,il,la,lo,l',A,A1,Cibo e bevande (vocabolario),"'Vino' is a masculine singular noun, so it requires the definite article 'il'.",
Compro la verdura fresca.,Compro ___ verdura fresca.,I buy fresh vegetables.,,,la,il,lo,le,A,A1,Cibo e bevande (vocabolario),"'Verdura' is a feminine singular noun, so it requires the definite article 'la'.",
Mangio la carne.,Mangio ___ carne.,I eat meat.,,,la,il,lo,le,A,A1,Cibo e bevande (vocabolario),"'Carne' is a feminine singular noun, so it requires the definite article 'la'.",
Indosso una maglietta.,Indosso ___ maglietta.,I wear a t-shirt.,,,una,un,uno,un',A,A1,Abbigliamento (vocabolario),"'Maglietta' is a feminine singular noun, so it requires the indefinite article 'una'.",
Porto una giacca.,Porto ___ giacca.,I wear a jacket.,,,una,un,uno,un',A,A1,Abbigliamento (vocabolario),"'Giacca' is a feminine singular noun, so it requires the indefinite article 'una'.",
Compro le scarpe nuove.,Compro ___ scarpe nuove.,I buy new shoes.,,,le,i,la,il,A,A1,Abbigliamento (vocabolario),"'Scarpe' is a feminine plural noun, so it requires the definite article 'le'.",
Metto il cappello.,Metto ___ cappello.,I put on the hat.,,,il,la,lo,l',A,A1,Abbigliamento (vocabolario),"'Cappello' is a masculine singular noun, so it requires the definite article 'il'.",
Indosso i pantaloni.,Indosso ___ pantaloni.,I wear pants.,,,i,le,il,la,A,A1,Abbigliamento (vocabolario),"'Pantaloni' is a masculine plural noun, so it requires the definite article 'i'.",
Porto una borsa.,Porto ___ borsa.,I carry a bag.,,,una,un,uno,un',A,A1,Abbigliamento (vocabolario),"'Borsa' is a feminine singular noun, so it requires the indefinite article 'una'.",
Metto un vestito.,Metto ___ vestito.,I put on a dress.,,,un,una,lo,l',A,A1,Abbigliamento (vocabolario),"'Vestito' is a masculine singular noun, so it requires 'un'.",
Compro le calze.,Compro ___ calze.,I buy socks.,,,le,i,la,il,A,A1,Abbigliamento (vocabolario),"'Calze' is a feminine plural noun, so it requires the definite article 'le'.",
Dormo in camera da letto.,Dormo in ___.,I sleep in the bedroom.,,,camera da letto,cucina,bagno,salotto,A,A1,Casa (vocabolario),The Italian phrase for 'bedroom' is 'camera da letto'.,
Cucino in cucina.,Cucino in ___.,I cook in the kitchen.,,,camera da letto,cucina,bagno,salotto,B,A1,Casa (vocabolario),The Italian word for 'kitchen' is 'cucina'.,
Mi lavo in bagno.,Mi lavo in ___.,I wash in the bathroom.,,,camera da letto,cucina,bagno,salotto,C,A1,Casa (vocabolario),The Italian word for 'bathroom' is 'bagno'.,
Guardo la TV in salotto.,Guardo la TV in ___.,I watch TV in the living room.,,,camera da letto,cucina,bagno,salotto,D,A1,Casa (vocabolario),The Italian word for 'living room' is 'salotto'.,
Mangio in sala da pranzo.,Mangio in ___.,I eat in the dining room.,,,sala da pranzo,camera da letto,bagno,cucina,A,A1,Casa (vocabolario),The Italian phrase for 'dining room' is 'sala da pranzo'.,
Studio in studio.,Studio in ___.,I study in the study.,,,studio,cucina,salotto,bagno,A,A1,Casa (vocabolario),The Italian word for 'study' or 'office' is 'studio'.,
Parcheggio in garage.,Parcheggio in ___.,I park in the garage.,,,garage,giardino,terrazza,cantina,A,A1,Casa (vocabolario),The Italian word for 'garage' is 'garage'.,
I fiori sono in giardino.,I fiori sono in ___.,The flowers are in the garden.,,,garage,giardino,terrazza,cantina,B,A1,Casa (vocabolario),The Italian word for 'garden' is 'giardino'.,
Ho gli occhi azzurri.,Ho gli ___ azzurri.,I have blue eyes.,,,piedi,mani,occhi,orecchi,C,A1,Corpo (vocabolario),The Italian word for 'eyes' is 'occhi'.,
Mi lavo le mani.,Mi lavo le ___.,I wash my hands.,,,piedi,mani,occhi,orecchi,B,A1,Corpo (vocabolario),The Italian word for 'hands' is 'mani'.,
Mi fa male la schiena.,Mi fa male la ___.,My back hurts.,,,testa,pancia,schiena,gola,C,A1,Corpo (vocabolario),The Italian word for 'back' is 'schiena'. 'Mi fa male' means 'it hurts me'.,
Chi sei tu?,___ sei tu?,Who are you?,,,Chi,Che,Dove,Quando,A,A1,Parole interrogative,The interrogative word for 'Who' is 'Chi'.,
Che fai?,___ fai?,What are you doing?,,Cosa,Chi,Che,Dove,Quando,B,A1,Parole interrogative,The interrogative word for 'What' is 'Che' (or 'Cosa').,
Quando parti?,___ parti?,When are you leaving?,,,Chi,Che,Dove,Quando,D,A1,Parole interrogative,The interrogative word for 'When' is 'Quando'.,
Quale libro leggi?,___ libro leggi?,Which book are you reading?,,,Quanto,Quale,Come,Perché,B,A1,Parole interrogative,The interrogative word for 'Which' is 'Quale'.,
Molto piacere!,___ piacere!,Nice to meet you!,,,Molto,Tanto,Grande,Poco,A,A1,Espressioni comuni,The standard expression for 'Nice to meet you!' is 'Piacere!' or 'Molto piacere!'.,
Molto bene.,___ bene.,Very well.,,,Molto,Poco,Tanto,Grande,A,A1,Espressioni comuni,"The expression for 'Very well' is 'Molto bene', often used as a response to 'Come stai?'.",
Non so.,Non ___.,I don't know.,,,so,conosco,capisco,vedo,A,A1,Espressioni comuni,"The common expression for 'I don't know' (a fact) is 'Non so', from the verb 'sapere'.",
"Scusi, signore, può ripetere?","___, signore, può ripetere?","Excuse me, sir, can you repeat?",The word 'signore' (sir) indicates you are speaking to someone formally.,,Dispiace,Prego,Permesso,Scusi,D,A1,Espressioni comuni,'Scusi' is the formal way to say 'Excuse me' to get someone's attention politely. It is the formal imperative of the verb 'scusare'.,
Per favore.,___ favore.,Please.,,,Per,Di,A,Con,A,A1,Espressioni comuni,The standard expression for 'Please' is 'Per favore'.,
Di niente.,___ niente.,You're welcome.,,,Di,Per,A,Con,A,A1,Espressioni comuni,"A common response to 'Grazie' (thank you) is 'Di niente', meaning 'it's nothing'.",
Prego .,___ .,You're welcome./Please go ahead.,,,Io,Tu,Lei,Prego,D,A1,Espressioni comuni,"'Prego' is a versatile word used to mean 'You're welcome', 'Please, go ahead', or 'Pardon?'.",
"Parla più lentamente, per favore.","Parla più ___, per favore.","Speak more slowly, please.",,,forte,piano,veloce,lentamente,D,A1,Espressioni comuni,'Slowly' is the adverb 'lentamente'.,
Sono le sei e venti.,Sono le ___ e venti.,It's six twenty.,,,cinque,sei,sette,otto,B,A1,Orario (telling time),"To express time after the hour, you state the hour ('sei' for six) and the minutes ('venti' for twenty).",
Sono le cinque meno dieci.,Sono le ___ meno dieci.,It's ten to five.,,,quattro,cinque,sei,sette,B,A1,Orario (telling time),"To express time before the next hour, you state the next hour ('cinque' for five) and subtract the minutes ('meno dieci').",
È l'una di notte.,È ___ di notte.,It's one o'clock at night.,,,l'una,le due,le tre,le quattro,A,A1,Orario (telling time),"For one o'clock, the singular form 'È l'una' is used, unlike other hours which use 'Sono le...'.",
Il gatto mangia il pesce.,Il gatto ___ il pesce.,The cat eats the fish.,,,mangia,mangiano,mangi,mangiamo,A,A1,Presente indicativo: verbi regolari -are,'Il gatto' (the cat) is a third-person singular subject. The verb 'mangiare' is conjugated as 'mangia'.,
Noi guardiamo la televisione.,Noi ___ la televisione.,We watch television.,,,guarda,guardate,guardano,guardiamo,D,A1,Verbi irregolari,"For the pronoun 'noi', the -are verb 'guardare' is conjugated as 'guardiamo'.",
Lei legge un libro.,Lei ___ un libro.,She reads a book.,,,leggo,leggi,legge,leggiamo,C,A1,Presente indicativo: verbi regolari -ere,"For the pronoun 'lei', the -ere verb 'leggere' is conjugated as 'legge'.",
Voi andate al cinema.,Voi ___ al cinema.,You (plural) go to the cinema.,,,andate,andiamo,vanno,va,A,A1,Verbi irregolari,"The verb 'andare' is irregular. For the pronoun 'voi', the correct form is 'andate'.",
Io prendo l'autobus.,Io ___ l'autobus.,I take the bus.,,,prendo,prendi,prende,prendiamo,A,A1,Presente indicativo: verbi regolari -ere,"For the pronoun 'io', the -ere verb 'prendere' is conjugated as 'prendo'.",
Loro bevono il caffè.,Loro ___ il caffè.,They drink coffee.,,,bevo,bevi,beve,bevono,D,A1,Verbi irregolari,"The verb 'bere' (to drink) is irregular. For the pronoun 'loro', the correct form is 'bevono'.",
Noi restiamo a casa stasera.,Noi ___ a casa stasera.,We stay at home tonight.,,,resta,restate,restano,restiamo,D,A1,Verbi irregolari,"For the pronoun 'noi', the -are verb 'restare' is conjugated as 'restiamo'.",
Io vado in centro.,Io ___ in centro.,I go to the center.,,,vado,vai,va,andiamo,A,A1,Verbi irregolari,The verb 'andare' (to go) is irregular. The first-person singular form (io) is 'vado'.,
Tu vieni da Roma.,Tu ___ da Roma.,You come from Rome.,,,vengo,vieni,viene,veniamo,B,A1,Verbi irregolari,The verb 'venire' (to come) is irregular. The second-person singular form (tu) is 'vieni'.,
Noi diamo la lezione.,Noi ___ la lezione.,We give the lesson.,,,do,dai,dà,diamo,D,A1,Verbi irregolari,The verb 'dare' (to give) is irregular. The first-person plural form (noi) is 'diamo'.,
Voi state bene.,Voi ___ bene.,You (plural) are well.,,,sto,stai,sta,state,D,A1,Verbi irregolari,The verb 'stare' (to stay/be) is irregular. The second-person plural form (voi) is 'state'.,
Loro dicono la verità.,Loro ___ la verità.,They tell the truth.,,,dico,dici,dice,dicono,D,A1,Verbi irregolari,The verb 'dire' (to say/tell) is irregular. The third-person plural form (loro) is 'dicono'.,
Io voglio uscire.,Io ___ uscire.,I want to go out.,,,voglio,vuoi,vuole,vogliamo,A,A1,Verbi irregolari,The modal verb 'volere' (to want) is irregular. The first-person singular form (io) is 'voglio'.,
